,SNR_level,vols,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,0.05_noise_3,100,1,1,0.2632584929164559,0.2662821165079217,0.1240695338173877,0.20096903665921417
0,0.05_noise_3,100,1,10,0.4392528368223261,0.443900889141742,0.17057034408743485,0.06118336615866804
0,0.05_noise_3,100,1,30,0.7380323065721397,0.7386765756967436,0.23218214800185927,0.032245760062021
0,0.05_noise_3,100,1,60,0.5272170468447512,0.5312974447932706,0.21375314756822067,0.070131417007627
0,0.05_noise_3,100,1,100,0.18913261555241045,0.1914339022386254,0.18725300461622446,0.1181999398662283
0,0.05_noise_3,100,10,1,0.2632584929164559,0.39523153086003515,0.14099303735030558,0.18948432756006273
0,0.05_noise_3,100,10,10,0.4392528368223261,0.5399448821050685,0.19559332578372843,0.05872512578796158
0,0.05_noise_3,100,10,30,0.7380323065721397,0.7655963884206666,0.24630766588742287,0.03385450876906675
0,0.05_noise_3,100,10,60,0.5272170468447512,0.6334918940564352,0.2352461861451812,0.06346869447845678
0,0.05_noise_3,100,10,100,0.18913261555241045,0.31326280259293543,0.21656417744061293,0.11166800184844654
0,0.05_noise_3,100,30,1,0.30387272598769915,0.5833614672647344,0.17305461942990732,0.12666154767652926
0,0.05_noise_3,100,30,10,0.8306220846146858,0.6607081360721337,0.2555286035058365,0.0810260721996488
0,0.05_noise_3,100,30,30,0.4962759297967834,0.6338838189774794,0.2757882359014666,0.05775321543102223
0,0.05_noise_3,100,30,60,0.5656632496368968,0.7059606232430224,0.2840320927580411,0.06492286927871731
0,0.05_noise_3,100,30,100,0.34899503199862336,0.502412851750605,0.26619489841644955,0.08254849870341285
0,0.05_noise_3,100,60,1,0.2608593731785826,0.5805856132774205,0.18595123236343292,0.09384873373296737
0,0.05_noise_3,100,60,10,0.8552949731791719,0.7286904111296333,0.27478177239655244,0.05808776039055318
0,0.05_noise_3,100,60,30,0.5293023239480346,0.5695565637902283,0.29586535287342197,0.0701091290836597
0,0.05_noise_3,100,60,60,0.75426580442251,0.6069342305708724,0.31293458274361996,0.07513251232007309
0,0.05_noise_3,100,60,100,0.6943374243323378,0.5731565714323612,0.29431150051902016,0.07628054383116249
0,0.05_noise_3,100,100,1,0.2579859792453119,0.49419064791136785,0.20787740136571306,0.08686251933324483
0,0.05_noise_3,100,100,10,0.8686750247713751,0.7490726632019024,0.2802465965420276,0.059832866890216815
0,0.05_noise_3,100,100,30,0.7187979885649125,0.5871803869225257,0.3142540883708132,0.05252142024775779
0,0.05_noise_3,100,100,60,0.7884328683047421,0.6677576820744161,0.3307134258880432,0.047181386546086335
0,0.05_noise_3,100,100,100,0.6901926836183793,0.5377916141329553,0.32468532483900686,0.062289721414580584
0,0.05_noise_2,100,1,1,0.20243222534619848,0.20447350329904884,0.15774380081397524,0.21673095671604645
0,0.05_noise_2,100,1,10,0.8259504810798544,0.8260687938089765,0.3711511624391238,0.05222914645350822
0,0.05_noise_2,100,1,30,0.8858882719354875,0.8860574980024102,0.3727681958375676,0.04004419243504099
0,0.05_noise_2,100,1,60,0.8908656330920762,0.8909390252380588,0.38266824122039667,0.03616032348719139
0,0.05_noise_2,100,1,100,0.8858882719354875,0.8860574980024364,0.3868175384108531,0.0401583209479599
0,0.05_noise_2,100,10,1,0.20243222534619848,0.3640598944756635,0.19166944069215233,0.20192682016740635
0,0.05_noise_2,100,10,10,0.8259504810798544,0.8512182010550557,0.37974678463336187,0.0521771836311741
0,0.05_noise_2,100,10,30,0.8858882719354875,0.9021782049672263,0.3800442769177648,0.04026904543836293
0,0.05_noise_2,100,10,60,0.8908656330920762,0.909395098778591,0.3905345909995213,0.03806545163023223
0,0.05_noise_2,100,10,100,0.8858882719354875,0.9014004006253005,0.39388090484411054,0.04027762266873192
0,0.05_noise_2,100,30,1,0.7191862387386045,0.7096892383919414,0.24265848952359087,0.13004436575542083
0,0.05_noise_2,100,30,10,0.9095336064551748,0.8863584488448384,0.3886122759501609,0.05405015826663381
0,0.05_noise_2,100,30,30,0.8773114108580825,0.9102384654857428,0.3894157555638639,0.03947957799187917
0,0.05_noise_2,100,30,60,0.9036261129575914,0.9228897681594745,0.399502085544954,0.0408826676940341
