,GBS_IBS,Replication_time,clusternum,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd,ref_rep_ismgsmcorr
0,0,10Min,2,0.811243745,0.819233729,0.107235881,0.067451467,0.182448146
0,0,10Min,4,0.579633221,0.581429976,0.10482229,0.058183879,0.557285452
0,0,10Min,6,0.270189426,0.309208744,0.078394433,0.029458223,0.260703197
0,0,10Min,8,0.266516641,0.292698569,0.074331037,0.027214658,0.445842986
0,0,10Min,10,0.202462966,0.205930145,0.065141808,0.017894833,0.344816891
0,0,10Min,12,0.210461299,0.211513596,0.069954317,0.018202854,0.305499127
0,10,10Min,2,0.560729885,0.626525028,0.155863631,0.066317107,0.407456098
0,10,10Min,4,0.206867002,0.259534025,0.119713845,0.050826242,0.058951928
0,10,10Min,6,0.183297639,0.26991141,0.121004262,0.046095381,-0.03639584
0,10,10Min,8,0.173486529,0.219247694,0.105842324,0.036809155,0.057051276
0,10,10Min,10,0.203011169,0.231817724,0.112668514,0.034622985,0.137985868
0,10,10Min,12,0.191397963,0.249028929,0.116517776,0.034039291,0.088269629
0,30,10Min,2,0.73130737,0.799921437,0.204397412,0.082501415,0.353901665
0,30,10Min,4,0.293315713,0.686324827,0.224448133,0.093086007,0.541833031
0,30,10Min,6,0.205742972,0.37043244,0.194419698,0.064286263,0.627983962
0,30,10Min,8,0.147077166,0.401258296,0.179839728,0.051729338,0.5712168
0,30,10Min,10,0.139762141,0.37178777,0.188627528,0.04228901,0.598893334
0,30,10Min,12,0.130614375,0.257076154,0.175814189,0.035159566,0.620589076
0,60,10Min,2,0.636399479,0.745899826,0.214087468,0.091943818,0.270283321
0,60,10Min,4,0.530157197,0.761454537,0.260273537,0.118343357,0.477579969
0,60,10Min,6,0.195087695,0.675669419,0.235121052,0.08029974,0.634957062
0,60,10Min,8,0.231967388,0.53248982,0.232044575,0.061115794,0.578041627
0,60,10Min,10,0.200940376,0.493989046,0.22042839,0.050508938,0.501983859
0,60,10Min,12,0.25555373,0.472255275,0.221342289,0.04830933,0.483980198
0,100,10Min,2,0.668207939,0.822751745,0.233378802,0.097903101,0.255305417
0,100,10Min,4,0.58800114,0.821167703,0.26685844,0.121819752,0.589933796
0,100,10Min,6,0.36372841,0.75012958,0.250902941,0.103194022,0.630563767
0,100,10Min,8,0.210580436,0.666569007,0.243678075,0.07626509,0.59909978
0,100,10Min,10,0.156601333,0.559963839,0.239768914,0.064973635,0.627440922
0,100,10Min,12,0.256082014,0.626145141,0.238974442,0.059583409,0.656807186
0,0,20Min,2,0.673460511,0.707478977,0.190892365,0.08677865,0.111091938
0,0,20Min,4,0.539221281,0.557995923,0.167628954,0.074631321,0.549615071
0,0,20Min,6,0.476941102,0.5065196,0.121334118,0.050949384,0.49774064
0,0,20Min,8,0.186153714,0.195749897,0.085027458,0.029635469,0.381199886
0,0,20Min,10,0.24484809,0.245568667,0.088687969,0.023163265,0.10896527
0,0,20Min,12,0.277326617,0.27816422,0.082970246,0.017766436,0.232266057
0,10,20Min,2,0.75990534,0.789959145,0.249740028,0.083811256,0.447690645
0,10,20Min,4,0.27101161,0.338281722,0.176241921,0.034182075,0.003856789
0,10,20Min,6,0.204915759,0.312998905,0.16598305,0.032234438,0.342300732
0,10,20Min,8,0.211295239,0.253020204,0.148780024,0.031700774,0.256626532
0,10,20Min,10,0.241765322,0.281599432,0.138103902,0.024487592,0.271703042
0,10,20Min,12,0.190846467,0.309148344,0.143773515,0.029819757,0.430974464
0,30,20Min,2,0.811980566,0.865842135,0.289753106,0.102345759,0.495461165
0,30,20Min,4,0.525623606,0.674921755,0.289815199,0.110049918,0.630428652
0,30,20Min,6,0.311402121,0.460160211,0.259019686,0.096378123,0.5865629
0,30,20Min,8,0.213965989,0.492172503,0.224453249,0.075451168,0.540514955
0,30,20Min,10,0.348625146,0.517683322,0.22341143,0.062742167,0.574071811
