,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR
0,0.9919189866923479,0.9919157933373556,0.9919221800473402,1.0,500.0,200.0,2.0,0.5,0.0,1.0,0.5
0,,,,1.0,500.0,400.0,2.0,0.5,0.0,1.0,0.5
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,1.0,0.5
0,0.9856409700290978,0.9889789656201323,0.9823029744380631,1.0,500.0,200.0,2.0,0.5,100.0,1.0,0.5
0,0.9975855681824757,0.996552906599599,0.9986182297653522,1.0,500.0,400.0,2.0,0.5,100.0,1.0,0.5
0,0.9999791866298768,0.9999841981110716,0.9999741751486821,1.0,500.0,800.0,2.0,0.5,100.0,1.0,0.5
0,0.988513572570589,0.9887156740614941,0.988311471079684,1.0,500.0,200.0,2.0,0.5,200.0,1.0,0.5
0,0.9983314968563002,0.9977504291077904,0.9989125646048098,1.0,500.0,400.0,2.0,0.5,200.0,1.0,0.5
0,0.9999903018392176,0.9999883207666352,0.9999922829117999,1.0,500.0,800.0,2.0,0.5,200.0,1.0,0.5
0,0.9842175970706679,0.9827809448977674,0.9856542492435686,1.0,500.0,200.0,2.0,0.5,400.0,1.0,0.5
0,0.9985460554826587,0.9982027429398782,0.9988893680254393,1.0,500.0,400.0,2.0,0.5,400.0,1.0,0.5
0,0.9998327409857188,0.9997012944900131,0.9999641874814247,1.0,500.0,800.0,2.0,0.5,400.0,1.0,0.5
0,0.9888265831225274,0.9920440636626973,0.9856091025823575,1.0,500.0,200.0,2.0,0.5,600.0,1.0,0.5
0,0.9983802293207922,0.9979223219891369,0.9988381366524475,1.0,500.0,400.0,2.0,0.5,600.0,1.0,0.5
0,0.9999539070144363,0.9999471695792076,0.9999606444496649,1.0,500.0,800.0,2.0,0.5,600.0,1.0,0.5
0,0.9919897044963475,0.9940217533154347,0.9899576556772602,1.0,500.0,200.0,2.0,0.5,800.0,1.0,0.5
0,0.9988493492299676,0.9985599214931723,0.9991387769667629,1.0,500.0,400.0,2.0,0.5,800.0,1.0,0.5
0,0.9998891838405557,0.9998494102857289,0.9999289573953825,1.0,500.0,800.0,2.0,0.5,800.0,1.0,0.5
0,0.9310368976559595,0.941453795311885,0.9206200000000341,1.0,500.0,200.0,2.0,0.5,0.0,1.5,0.3333333333333333
0,,,,1.0,500.0,400.0,2.0,0.5,0.0,1.5,0.3333333333333333
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,1.5,0.3333333333333333
0,0.8586996683714005,0.8158318095255561,0.9015675272172451,1.0,500.0,200.0,2.0,0.5,100.0,1.5,0.3333333333333333
0,0.9743479389552807,0.969431185437617,0.9792646924729445,1.0,500.0,400.0,2.0,0.5,100.0,1.5,0.3333333333333333
0,0.9993427703227227,0.9992410446540738,0.9994444959913715,1.0,500.0,800.0,2.0,0.5,100.0,1.5,0.3333333333333333
0,0.8684898165868196,0.8360448571258474,0.9009347760477916,1.0,500.0,200.0,2.0,0.5,200.0,1.5,0.3333333333333333
0,0.9462609036406869,0.9798191419134803,0.9127026653678936,1.0,500.0,400.0,2.0,0.5,200.0,1.5,0.3333333333333333
0,0.9994498700110482,0.9995277030436391,0.9993720369784573,1.0,500.0,800.0,2.0,0.5,200.0,1.5,0.3333333333333333
0,0.7856595914409701,0.7598870057583305,0.8114321771236097,1.0,500.0,200.0,2.0,0.5,400.0,1.5,0.3333333333333333
0,0.9836738641885989,0.9817643125399265,0.9855834158372714,1.0,500.0,400.0,2.0,0.5,400.0,1.5,0.3333333333333333
0,0.9995167716926211,0.9994882492957238,0.9995452940895184,1.0,500.0,800.0,2.0,0.5,400.0,1.5,0.3333333333333333
0,0.9002821237119807,0.9071235664438257,0.8934406809801355,1.0,500.0,200.0,2.0,0.5,600.0,1.5,0.3333333333333333
0,0.9873013343438743,0.9864296094119114,0.9881730592758374,1.0,500.0,400.0,2.0,0.5,600.0,1.5,0.3333333333333333
0,0.9989458032941991,0.9989989756518561,0.9988926309365422,1.0,500.0,800.0,2.0,0.5,600.0,1.5,0.3333333333333333
0,0.8378097932879107,0.8329863301571856,0.8426332564186358,1.0,500.0,200.0,2.0,0.5,800.0,1.5,0.3333333333333333
0,0.9775388022160478,0.9616221969951003,0.9934554074369955,1.0,500.0,400.0,2.0,0.5,800.0,1.5,0.3333333333333333
0,0.9986702779483984,0.998904960918522,0.9984355949782747,1.0,500.0,800.0,2.0,0.5,800.0,1.5,0.3333333333333333
0,0.1278421738443169,0.17946293637477173,0.07622141131386206,1.0,500.0,200.0,2.0,0.5,0.0,2.0,0.25
0,,,,1.0,500.0,400.0,2.0,0.5,0.0,2.0,0.25
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,2.0,0.25
0,0.6626425915580381,0.7282376989303463,0.5970474841857298,1.0,500.0,200.0,2.0,0.5,100.0,2.0,0.25
0,0.6634777465919584,0.6388382130582524,0.6881172801256644,1.0,500.0,400.0,2.0,0.5,100.0,2.0,0.25
0,0.9736515324599821,0.9699597417919208,0.9773433231280435,1.0,500.0,800.0,2.0,0.5,100.0,2.0,0.25
0,0.5914712757189188,0.6068300043241359,0.5761125471137016,1.0,500.0,200.0,2.0,0.5,200.0,2.0,0.25
0,0.41194638183030885,0.4863484747268232,0.3375442889337945,1.0,500.0,400.0,2.0,0.5,200.0,2.0,0.25
0,0.9543714330121833,0.9211180851378561,0.9876247808865105,1.0,500.0,800.0,2.0,0.5,200.0,2.0,0.25
0,0.6314687320845364,0.437928508590874,0.8250089555781986,1.0,500.0,200.0,2.0,0.5,400.0,2.0,0.25
0,0.8690980487823308,0.9624838745138333,0.7757122230508281,1.0,500.0,400.0,2.0,0.5,400.0,2.0,0.25
0,0.993828499533624,0.9926309532252638,0.9950260458419841,1.0,500.0,800.0,2.0,0.5,400.0,2.0,0.25
0,0.6136994238975186,0.5764447539674701,0.6509540938275673,1.0,500.0,200.0,2.0,0.5,600.0,2.0,0.25
0,0.848899984424007,0.8834330834366682,0.814366885411346,1.0,500.0,400.0,2.0,0.5,600.0,2.0,0.25
0,0.986494299149898,0.9863607563104325,0.9866278419893633,1.0,500.0,800.0,2.0,0.5,600.0,2.0,0.25
0,0.5080777005055752,0.5007092984613356,0.5154461025498147,1.0,500.0,200.0,2.0,0.5,800.0,2.0,0.25
0,0.8770823903843536,0.8239744450164291,0.9301903357522783,1.0,500.0,400.0,2.0,0.5,800.0,2.0,0.25
0,0.9319816499568089,0.9169152702273854,0.9470480296862324,1.0,500.0,800.0,2.0,0.5,800.0,2.0,0.25
0,0.26603070376389426,0.1603799697963757,0.3716814377314129,1.0,500.0,200.0,2.0,0.5,0.0,2.5,0.2
0,,,,1.0,500.0,400.0,2.0,0.5,0.0,2.5,0.2
0,,,,1.0,500.0,800.0,2.0,0.5,0.0,2.5,0.2
0,0.5467091791355255,0.5807875090731858,0.5126308491978653,1.0,500.0,200.0,2.0,0.5,100.0,2.5,0.2
0,0.5217650486455582,0.5965610932985173,0.4469690039925991,1.0,500.0,400.0,2.0,0.5,100.0,2.5,0.2
0,0.6231701676857602,0.7267764704569429,0.5195638649145775,1.0,500.0,800.0,2.0,0.5,100.0,2.5,0.2
0,0.44249437198916886,0.4087712703714279,0.47621747360690986,1.0,500.0,200.0,2.0,0.5,200.0,2.5,0.2
0,0.48209298674311063,0.46675768766877235,0.49742828581744886,1.0,500.0,400.0,2.0,0.5,200.0,2.5,0.2
0,0.7610151275078831,0.5601877238889179,0.9618425311268483,1.0,500.0,800.0,2.0,0.5,200.0,2.5,0.2
0,0.5524856866573774,0.5810981058263179,0.5238732674884369,1.0,500.0,200.0,2.0,0.5,400.0,2.5,0.2
0,0.5423517564808273,0.6154972390039695,0.4692062739576852,1.0,500.0,400.0,2.0,0.5,400.0,2.5,0.2
0,0.6184282033648324,0.43801167967970417,0.7988447270499606,1.0,500.0,800.0,2.0,0.5,400.0,2.5,0.2
0,0.5433630582805922,0.5677719027139798,0.5189542138472045,1.0,500.0,200.0,2.0,0.5,600.0,2.5,0.2
0,0.5617910798293305,0.5840912994163591,0.539490860242302,1.0,500.0,400.0,2.0,0.5,600.0,2.5,0.2
0,0.6259492095923335,0.29960867063701296,0.9522897485476539,1.0,500.0,800.0,2.0,0.5,600.0,2.5,0.2
0,0.49787323132160033,0.5604868377111413,0.4352596249320594,1.0,500.0,200.0,2.0,0.5,800.0,2.5,0.2
0,0.614916989918763,0.7266227345926602,0.5032112452448657,1.0,500.0,400.0,2.0,0.5,800.0,2.5,0.2
0,0.7053497965784952,0.8618624879180787,0.5488371052389115,1.0,500.0,800.0,2.0,0.5,800.0,2.5,0.2
