,GBS,IBS,group_label_acc,gsm_acc,ism_gsm_corrmean,ism_gsm_corrstd
0,0,100,0.465797312,0.465929146,0.44871494,0.045122324
0,0,10,0.442178299,0.442997968,0.416541717,0.049477781
0,0,0,0.255599927,0.256836015,0.275587869,0.141673788
0,0,200,0.454269243,0.454648146,0.451353723,0.043487945
0,0,40,0.44232471,0.442917557,0.420096831,0.035943344
0,10,100,0.437642568,0.454193873,0.483446247,0.047501357
0,10,10,0.442317169,0.454908422,0.458428879,0.056429453
0,10,0,0.250621705,0.298126639,0.38085987,0.082424967
0,10,200,0.442648716,0.449662665,0.475458016,0.03916692
0,10,40,0.436754233,0.461074573,0.470432956,0.036679328
0,50,100,0.445104126,0.466763116,0.476059715,0.043844331
0,50,10,0.439463718,0.466111341,0.461149136,0.035592749
0,50,0,0.464757768,0.457063086,0.363099271,0.069179364
0,50,200,0.443744606,0.460788612,0.47313053,0.045301713
0,50,40,0.441638366,0.465985629,0.469277475,0.045662655
0,100,100,0.440281718,0.464257368,0.473823215,0.037228279
0,100,10,0.441499176,0.465602977,0.444429769,0.044912789
0,100,0,0.426946059,0.37580904,0.374081192,0.051855962
0,100,200,0.441707721,0.463228864,0.477382701,0.040704023
0,100,40,0.437572249,0.45931321,0.461552595,0.0469502
