,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR,reps
0,0.377752343,0.460904952,0.294599735,1,500,100,2,0.5,100,2.5,0.2,0
0,0.481977258,0.491561624,0.472392892,1,500,100,2,0.5,100,2.5,0.2,1
0,0.502688878,0.517290776,0.488086981,1,500,100,2,0.5,100,2.5,0.2,2
0,0.546274826,0.590176965,0.502372686,1,500,100,2,0.5,100,2.5,0.2,3
0,0.497364808,0.526720197,0.46800942,1,500,100,2,0.5,100,2.5,0.2,4
0,0.402978185,0.407437047,0.398519323,1,500,100,2,0.5,100,2.5,0.2,5
0,0.337086942,0.32297725,0.351196634,1,500,100,2,0.5,100,2.5,0.2,6
0,0.475810004,0.46712913,0.484490878,1,500,100,2,0.5,100,2.5,0.2,7
0,0.446521798,0.418901761,0.474141835,1,500,100,2,0.5,100,2.5,0.2,8
0,0.506796472,0.540953894,0.47263905,1,500,100,2,0.5,100,2.5,0.2,9
0,0.442920233,0.416944305,0.468896161,1,500,100,2,0.5,100,2.5,0.2,10
0,0.507890116,0.526689574,0.489090658,1,500,100,2,0.5,100,2.5,0.2,11
0,0.40101312,0.360395514,0.441630726,1,500,100,2,0.5,100,2.5,0.2,12
0,0.467352162,0.483254551,0.451449772,1,500,100,2,0.5,100,2.5,0.2,13
0,0.433011176,0.399686215,0.466336137,1,500,100,2,0.5,100,2.5,0.2,14
0,0.490982214,0.508535766,0.473428661,1,500,100,2,0.5,100,2.5,0.2,15
0,0.463793541,0.461120137,0.466466946,1,500,100,2,0.5,100,2.5,0.2,16
0,0.331726723,0.375606685,0.28784676,1,500,100,2,0.5,100,2.5,0.2,17
0,0.480284147,0.46610828,0.494460014,1,500,100,2,0.5,100,2.5,0.2,18
0,0.407463242,0.353800178,0.461126305,1,500,100,2,0.5,100,2.5,0.2,19
0,0.575400378,0.548025879,0.602774877,1,500,100,2,0.5,100,2.5,0.2,20
0,0.499561771,0.512180171,0.486943372,1,500,100,2,0.5,100,2.5,0.2,21
0,0.534652553,0.514675906,0.5546292,1,500,100,2,0.5,100,2.5,0.2,22
0,0.408654237,0.430907763,0.386400711,1,500,100,2,0.5,100,2.5,0.2,23
0,0.47974982,0.499360445,0.460139196,1,500,100,2,0.5,100,2.5,0.2,24
0,0.503984263,0.556595902,0.451372623,1,500,100,2,0.5,100,2.5,0.2,25
0,0.454277254,0.433602681,0.474951828,1,500,100,2,0.5,100,2.5,0.2,26
0,0.520252729,0.496398584,0.544106874,1,500,100,2,0.5,100,2.5,0.2,27
0,0.409084644,0.429365073,0.388804216,1,500,100,2,0.5,100,2.5,0.2,28
0,0.483756709,0.429678529,0.53783489,1,500,100,2,0.5,100,2.5,0.2,29
0,0.428699296,0.456211936,0.401186656,1,500,100,2,0.5,100,2.5,0.2,30
0,0.479925778,0.441950884,0.517900672,1,500,100,2,0.5,100,2.5,0.2,31
0,0.509542077,0.484404709,0.534679445,1,500,100,2,0.5,100,2.5,0.2,32
0,0.464800629,0.481132166,0.448469092,1,500,100,2,0.5,100,2.5,0.2,33
0,0.408520711,0.437286604,0.379754818,1,500,100,2,0.5,100,2.5,0.2,34
0,0.487834064,0.470252194,0.505415933,1,500,100,2,0.5,100,2.5,0.2,35
0,0.50867686,0.561812915,0.455540805,1,500,100,2,0.5,100,2.5,0.2,36
0,0.432722911,0.390870216,0.474575606,1,500,100,2,0.5,100,2.5,0.2,37
0,0.467901665,0.489556278,0.446247052,1,500,100,2,0.5,100,2.5,0.2,38
0,0.522188591,0.618830269,0.425546913,1,500,100,2,0.5,100,2.5,0.2,39
0,0.501752617,0.441185454,0.56231978,1,500,100,2,0.5,100,2.5,0.2,40
0,0.483557905,0.482390739,0.48472507,1,500,100,2,0.5,100,2.5,0.2,41
0,0.45229908,0.433661986,0.470936174,1,500,100,2,0.5,100,2.5,0.2,42
0,0.386604049,0.390610663,0.382597435,1,500,100,2,0.5,100,2.5,0.2,43
0,0.471008053,0.44989749,0.492118616,1,500,100,2,0.5,100,2.5,0.2,44
0,0.513657285,0.629033872,0.398280699,1,500,100,2,0.5,100,2.5,0.2,45
0,0.481525088,0.429532444,0.533517732,1,500,100,2,0.5,100,2.5,0.2,46
0,0.447553184,0.461605262,0.433501107,1,500,100,2,0.5,100,2.5,0.2,47
0,0.482939318,0.44532057,0.520558067,1,500,100,2,0.5,100,2.5,0.2,48
0,0.503526102,0.504561374,0.50249083,1,500,100,2,0.5,100,2.5,0.2,49
0,0.477624732,0.492041785,0.463207679,1,500,200,2,0.5,100,2.5,0.2,0
0,0.485227259,0.515163708,0.455290809,1,500,200,2,0.5,100,2.5,0.2,1
0,0.543534625,0.519523988,0.567545262,1,500,200,2,0.5,100,2.5,0.2,2
0,0.497955962,0.517398325,0.478513598,1,500,200,2,0.5,100,2.5,0.2,3
0,0.62597036,0.650953407,0.600987314,1,500,200,2,0.5,100,2.5,0.2,4
0,0.542717776,0.543754324,0.541681228,1,500,200,2,0.5,100,2.5,0.2,5
0,0.452868686,0.425044921,0.480692452,1,500,200,2,0.5,100,2.5,0.2,6
0,0.448988147,0.443023253,0.454953041,1,500,200,2,0.5,100,2.5,0.2,7
0,0.60710016,0.593651943,0.620548377,1,500,200,2,0.5,100,2.5,0.2,8
0,0.5413805,0.569418901,0.513342099,1,500,200,2,0.5,100,2.5,0.2,9
0,0.567950896,0.522321293,0.6135805,1,500,200,2,0.5,100,2.5,0.2,10
0,0.573557208,0.657670331,0.489444084,1,500,200,2,0.5,100,2.5,0.2,11
0,0.530764354,0.500423611,0.561105098,1,500,200,2,0.5,100,2.5,0.2,12
0,0.534119808,0.526560794,0.541678821,1,500,200,2,0.5,100,2.5,0.2,13
0,0.473206467,0.436703211,0.509709722,1,500,200,2,0.5,100,2.5,0.2,14
0,0.470742987,0.495194422,0.446291551,1,500,200,2,0.5,100,2.5,0.2,15
0,0.490592965,0.500487771,0.480698158,1,500,200,2,0.5,100,2.5,0.2,16
0,0.567613642,0.622371854,0.512855429,1,500,200,2,0.5,100,2.5,0.2,17
0,0.489005843,0.426468172,0.551543514,1,500,200,2,0.5,100,2.5,0.2,18
0,0.527193285,0.583456258,0.470930313,1,500,200,2,0.5,100,2.5,0.2,19
0,0.602865716,0.607503348,0.598228084,1,500,200,2,0.5,100,2.5,0.2,20
0,0.568822599,0.482170707,0.655474491,1,500,200,2,0.5,100,2.5,0.2,21
0,0.540515882,0.522407863,0.558623901,1,500,200,2,0.5,100,2.5,0.2,22
0,0.478765907,0.553896655,0.40363516,1,500,200,2,0.5,100,2.5,0.2,23
0,0.480844965,0.507318987,0.454370943,1,500,200,2,0.5,100,2.5,0.2,24
0,0.58240262,0.640211346,0.524593895,1,500,200,2,0.5,100,2.5,0.2,25
0,0.52344657,0.602336746,0.444556394,1,500,200,2,0.5,100,2.5,0.2,26
0,0.472046908,0.437658892,0.506434924,1,500,200,2,0.5,100,2.5,0.2,27
0,0.613993251,0.698093761,0.529892741,1,500,200,2,0.5,100,2.5,0.2,28
0,0.622825756,0.607951257,0.637700254,1,500,200,2,0.5,100,2.5,0.2,29
0,0.544027845,0.570429298,0.517626393,1,500,200,2,0.5,100,2.5,0.2,30
0,0.55726716,0.549410963,0.565123357,1,500,200,2,0.5,100,2.5,0.2,31
0,0.594892146,0.744759473,0.44502482,1,500,200,2,0.5,100,2.5,0.2,32
0,0.50775083,0.489677214,0.525824446,1,500,200,2,0.5,100,2.5,0.2,33
0,0.518478998,0.57019479,0.466763206,1,500,200,2,0.5,100,2.5,0.2,34
0,0.547189049,0.527446346,0.566931752,1,500,200,2,0.5,100,2.5,0.2,35
0,0.604253771,0.617449722,0.591057819,1,500,200,2,0.5,100,2.5,0.2,36
0,0.522531996,0.503163874,0.541900117,1,500,200,2,0.5,100,2.5,0.2,37
0,0.53963092,0.57458626,0.50467558,1,500,200,2,0.5,100,2.5,0.2,38
0,0.492334594,0.60026874,0.384400448,1,500,200,2,0.5,100,2.5,0.2,39
0,0.593995493,0.546961964,0.641029022,1,500,200,2,0.5,100,2.5,0.2,40
0,0.468749249,0.457643705,0.479854793,1,500,200,2,0.5,100,2.5,0.2,41
0,0.546169876,0.572175675,0.520164077,1,500,200,2,0.5,100,2.5,0.2,42
0,0.516642918,0.520039012,0.513246825,1,500,200,2,0.5,100,2.5,0.2,43
0,0.49876396,0.444517223,0.553010698,1,500,200,2,0.5,100,2.5,0.2,44
0,0.491221708,0.479152101,0.503291315,1,500,200,2,0.5,100,2.5,0.2,45
0,0.559107332,0.515405235,0.602809429,1,500,200,2,0.5,100,2.5,0.2,46
0,0.502054158,0.517126511,0.486981805,1,500,200,2,0.5,100,2.5,0.2,47
0,0.498314968,0.525156634,0.471473302,1,500,200,2,0.5,100,2.5,0.2,48
0,0.49978385,0.513582739,0.485984962,1,500,200,2,0.5,100,2.5,0.2,49
0,0.46401637,0.395140716,0.532892024,1,500,400,2,0.5,100,2.5,0.2,0
0,0.526068401,0.651805951,0.400330851,1,500,400,2,0.5,100,2.5,0.2,1
0,0.638273477,0.599289653,0.6772573,1,500,400,2,0.5,100,2.5,0.2,2
