,AvgAcc,Reg1Acc,Reg2Acc,numsub,numvox,TRs,n_clusters,corrstrength,bootstraps,noiselevel,SNR
0,0.991918987,0.991915793,0.99192218,1,500,200,2,0.5,0,1,0.5
0,1,1,1,1,500,400,2,0.5,0,1,0.5
0,1,1,1,1,500,800,2,0.5,0,1,0.5
0,0.98564097,0.988978966,0.982302974,1,500,200,2,0.5,100,1,0.5
0,0.997585568,0.996552907,0.99861823,1,500,400,2,0.5,100,1,0.5
0,0.999979187,0.999984198,0.999974175,1,500,800,2,0.5,100,1,0.5
0,0.988513573,0.988715674,0.988311471,1,500,200,2,0.5,200,1,0.5
0,0.998331497,0.997750429,0.998912565,1,500,400,2,0.5,200,1,0.5
0,0.999990302,0.999988321,0.999992283,1,500,800,2,0.5,200,1,0.5
0,0.984217597,0.982780945,0.985654249,1,500,200,2,0.5,400,1,0.5
0,0.998546055,0.998202743,0.998889368,1,500,400,2,0.5,400,1,0.5
0,0.999832741,0.999701294,0.999964187,1,500,800,2,0.5,400,1,0.5
0,0.988826583,0.992044064,0.985609103,1,500,200,2,0.5,600,1,0.5
0,0.998380229,0.997922322,0.998838137,1,500,400,2,0.5,600,1,0.5
0,0.999953907,0.99994717,0.999960644,1,500,800,2,0.5,600,1,0.5
0,0.991989704,0.994021753,0.989957656,1,500,200,2,0.5,800,1,0.5
0,0.998849349,0.998559921,0.999138777,1,500,400,2,0.5,800,1,0.5
0,0.999889184,0.99984941,0.999928957,1,500,800,2,0.5,800,1,0.5
0,0.931036898,0.941453795,0.92062,1,500,200,2,0.5,0,1.5,0.33
0,0.989229613,0.989228253,0.989230974,1,500,400,2,0.5,0,1.5,0.33
0,1,1,1,1,500,800,2,0.5,0,1.5,0.33
0,0.858699668,0.81583181,0.901567527,1,500,200,2,0.5,100,1.5,0.33
0,0.974347939,0.969431185,0.979264692,1,500,400,2,0.5,100,1.5,0.33
0,0.99934277,0.999241045,0.999444496,1,500,800,2,0.5,100,1.5,0.33
0,0.868489817,0.836044857,0.900934776,1,500,200,2,0.5,200,1.5,0.33
0,0.946260904,0.979819142,0.912702665,1,500,400,2,0.5,200,1.5,0.33
0,0.99944987,0.999527703,0.999372037,1,500,800,2,0.5,200,1.5,0.33
0,0.785659591,0.759887006,0.811432177,1,500,200,2,0.5,400,1.5,0.33
0,0.983673864,0.981764313,0.985583416,1,500,400,2,0.5,400,1.5,0.33
0,0.999516772,0.999488249,0.999545294,1,500,800,2,0.5,400,1.5,0.33
0,0.900282124,0.907123566,0.893440681,1,500,200,2,0.5,600,1.5,0.33
0,0.987301334,0.986429609,0.988173059,1,500,400,2,0.5,600,1.5,0.33
0,0.998945803,0.998998976,0.998892631,1,500,800,2,0.5,600,1.5,0.33
0,0.837809793,0.83298633,0.842633256,1,500,200,2,0.5,800,1.5,0.33
0,0.977538802,0.961622197,0.993455407,1,500,400,2,0.5,800,1.5,0.33
0,0.998670278,0.998904961,0.998435595,1,500,800,2,0.5,800,1.5,0.33
0,0.127842174,0.179462936,0.076221411,1,500,200,2,0.5,0,2,0.25
0,0.527853812,0.114166793,0.941540831,1,500,400,2,0.5,0,2,0.25
0,0.998650968,0.997301935,1,1,500,800,2,0.5,0,2,0.25
0,0.662642592,0.728237699,0.597047484,1,500,200,2,0.5,100,2,0.25
0,0.86630257,0.796725414,0.935879727,1,500,400,2,0.5,100,2,0.25
0,0.973651532,0.969959742,0.977343323,1,500,800,2,0.5,100,2,0.25
0,0.591471276,0.606830004,0.576112547,1,500,200,2,0.5,200,2,0.25
0,0.64636542,0.757822701,0.534908139,1,500,400,2,0.5,200,2,0.25
0,0.954371433,0.921118085,0.987624781,1,500,800,2,0.5,200,2,0.25
0,0.631468732,0.437928509,0.825008956,1,500,200,2,0.5,400,2,0.25
0,0.724848439,0.577901943,0.871794936,1,500,400,2,0.5,400,2,0.25
0,0.9938285,0.992630953,0.995026046,1,500,800,2,0.5,400,2,0.25
0,0.613699424,0.576444754,0.650954094,1,500,200,2,0.5,600,2,0.25
